striker,phase,season,runs,balls,strike_rate
A Ashish Reddy,Death,2012,25,21,119.05
A Ashish Reddy,Death,2013,114,78,146.15
A Ashish Reddy,Death,2015,59,34,173.53
A Ashish Reddy,Death,2016,16,13,123.08
A Ashish Reddy,Middle,2015,14,12,116.67
A Ashish Reddy,Middle,2016,31,16,193.75
A Badoni,Death,2022,101,66,153.03
A Badoni,Death,2023,143,85,168.24
A Badoni,Death,2024,136,84,161.9
A Badoni,Death,2025,134,78,171.79
A Badoni,Death,2026,24,14,171.43
A Badoni,Middle,2022,59,58,101.72
A Badoni,Middle,2023,86,71,121.13
A Badoni,Middle,2024,90,71,126.76
A Badoni,Middle,2025,184,133,138.35
A Badoni,Middle,2026,96,75,128.0
A Badoni,Powerplay,2023,8,15,53.33
A Badoni,Powerplay,2024,9,16,56.25
A Badoni,Powerplay,2025,11,10,110.0
A Badoni,Powerplay,2026,95,52,182.69
A Chopra,Middle,2008,18,15,120.0
A Chopra,Middle,2009,7,15,46.67
A Chopra,Powerplay,2008,23,35,65.71
A Choudhary,Death,2017,25,20,125.0
A Flintoff,Death,2009,25,17,147.06
A Flintoff,Middle,2009,23,23,100.0
A Flintoff,Powerplay,2009,14,13,107.69
A Kamboj,Death,2025,14,12,116.67
A Kamboj,Death,2026,39,28,139.29
A Kumble,Death,2008,13,17,76.47
A Kumble,Death,2009,15,14,107.14
A Kumble,Death,2010,6,11,54.55
A Manohar,Death,2022,49,32,153.12
A Manohar,Death,2023,56,31,180.65
A Manohar,Death,2025,43,31,138.71
A Manohar,Middle,2022,47,31,151.61
A Manohar,Middle,2023,58,52,111.54
A Manohar,Middle,2024,9,10,90.0
A Manohar,Middle,2025,18,30,60.0
A Manohar,Powerplay,2022,12,12,100.0
A Mhatre,Middle,2025,60,32,187.5
A Mhatre,Middle,2026,96,52,184.62
A Mhatre,Powerplay,2025,177,92,192.39
A Mhatre,Powerplay,2026,98,53,184.91
A Mishra,Death,2008,6,11,54.55
A Mishra,Death,2009,26,20,130.0
A Mishra,Death,2010,25,27,92.59
A Mishra,Death,2011,67,48,139.58
A Mishra,Death,2012,16,20,80.0
A Mishra,Death,2013,37,29,127.59
A Mishra,Death,2017,39,35,111.43
A Mishra,Death,2019,19,18,105.56
A Mishra,Death,2023,13,17,76.47
A Mishra,Middle,2008,31,31,100.0
A Mishra,Middle,2010,13,23,56.52
A Mishra,Middle,2013,51,61,83.61
A Mishra,Middle,2017,10,17,58.82
A Mishra,Middle,2023,6,13,46.15
A Mithun,Middle,2011,15,12,125.0
A Mukund,Powerplay,2013,14,15,93.33
A Nehra,Death,2008,2,12,16.67
A Nehra,Death,2010,22,19,115.79
A Nehra,Death,2012,11,12,91.67
A Nortje,Death,2023,37,29,127.59
A Raghuvanshi,Death,2025,58,42,138.1
A Raghuvanshi,Death,2026,79,40,197.5
A Raghuvanshi,Middle,2024,85,55,154.55
A Raghuvanshi,Middle,2025,166,129,128.68
A Raghuvanshi,Middle,2026,214,145,147.59
A Raghuvanshi,Powerplay,2024,78,49,159.18
A Raghuvanshi,Powerplay,2025,76,43,176.74
A Raghuvanshi,Powerplay,2026,129,102,126.47
A Symonds,Death,2008,47,21,223.81
A Symonds,Death,2009,57,30,190.0
A Symonds,Death,2010,106,68,155.88
A Symonds,Death,2011,82,63,130.16
A Symonds,Middle,2008,91,64,142.19
A Symonds,Middle,2009,172,120,143.33
A Symonds,Middle,2010,294,226,130.09
A Symonds,Middle,2011,52,71,73.24
A Symonds,Powerplay,2008,23,19,121.05
