bowler,phase,season,runs_conceded,legal_balls,wickets,overs,economy
A Ashish Reddy,Death,2012,123.0,73,8,12.17,10.11
A Ashish Reddy,Death,2013,25.0,10,1,1.67,14.97
A Ashish Reddy,Death,2015,19.0,18,2,3.0,6.33
A Ashish Reddy,Middle,2012,94.0,84,3,14.0,6.71
A Ashish Reddy,Middle,2013,45.0,30,2,5.0,9.0
A Ashish Reddy,Middle,2015,31.0,18,2,3.0,10.33
A Ashish Reddy,Middle,2016,39.0,23,1,3.83,10.18
A Ashish Reddy,Powerplay,2012,20.0,6,0,1.0,20.0
A Badoni,Death,2024,6.0,6,0,1.0,6.0
A Badoni,Death,2025,13.0,10,2,1.67,7.78
A Badoni,Middle,2022,11.0,12,2,2.0,5.5
A Badoni,Middle,2024,19.0,6,0,1.0,19.0
A Badoni,Middle,2026,14.0,6,0,1.0,14.0
A Chandila,Death,2013,6.0,6,0,1.0,6.0
A Chandila,Middle,2012,45.0,42,1,7.0,6.43
A Chandila,Middle,2013,54.0,42,0,7.0,7.71
A Chandila,Powerplay,2012,41.0,42,4,7.0,5.86
A Chandila,Powerplay,2013,96.0,102,6,17.0,5.65
A Choudhary,Death,2017,40.0,24,1,4.0,10.0
A Choudhary,Middle,2017,58.0,41,1,6.83,8.49
A Choudhary,Powerplay,2017,46.0,36,3,6.0,7.67
A Dananjaya,Middle,2018,35.0,18,0,3.0,11.67
A Dananjaya,Powerplay,2018,12.0,6,0,1.0,12.0
A Flintoff,Death,2009,58.0,24,1,4.0,14.5
A Flintoff,Middle,2009,26.0,30,1,5.0,5.2
A Flintoff,Powerplay,2009,21.0,12,0,2.0,10.5
A Kamboj,Death,2026,235.0,128,16,21.33,11.02
A Kamboj,Middle,2024,53.0,30,1,5.0,10.6
A Kamboj,Middle,2026,77.0,48,3,8.0,9.62
A Kamboj,Powerplay,2024,61.0,30,1,5.0,12.2
A Kamboj,Powerplay,2025,169.0,126,7,21.0,8.05
A Kamboj,Powerplay,2026,218.0,126,5,21.0,10.38
A Kumble,Death,2008,55.0,26,1,4.33,12.7
A Kumble,Death,2009,78.0,67,9,11.17,6.98
A Kumble,Death,2010,79.0,74,8,12.33,6.41
A Kumble,Middle,2008,229.0,180,7,30.0,7.63
A Kumble,Middle,2009,246.0,252,11,42.0,5.86
A Kumble,Middle,2010,283.0,258,10,43.0,6.58
A Kumble,Powerplay,2008,20.0,24,0,4.0,5.0
A Kumble,Powerplay,2009,23.0,36,2,6.0,3.83
A Kumble,Powerplay,2010,45.0,48,1,8.0,5.62
A Mishra,Death,2008,19.0,18,4,3.0,6.33
A Mishra,Death,2009,39.0,18,3,3.0,13.0
A Mishra,Death,2010,74.0,48,4,8.0,9.25
A Mishra,Death,2011,124.0,92,8,15.33,8.09
A Mishra,Death,2012,66.0,42,1,7.0,9.43
A Mishra,Death,2013,122.0,84,10,14.0,8.71
A Mishra,Death,2014,87.0,39,3,6.5,13.38
A Mishra,Death,2015,97.0,55,2,9.17,10.58
A Mishra,Death,2016,62.0,36,1,6.0,10.33
A Mishra,Death,2017,11.0,11,2,1.83,6.01
A Mishra,Death,2018,34.0,24,2,4.0,8.5
