match_id,first_bat_team,first_innings_score,second_bat_team,second_innings_score,winner,venue,season
335982,Kolkata Knight Riders,222,Royal Challengers Bangalore,82,Kolkata Knight Riders,M Chinnaswamy Stadium,2008
335983,Chennai Super Kings,240,Punjab Kings,207,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2008
335984,Rajasthan Royals,129,Delhi Capitals,132,Delhi Capitals,Feroz Shah Kotla,2008
335985,Mumbai Indians,165,Royal Challengers Bangalore,166,Royal Challengers Bangalore,Wankhede Stadium,2008
335986,Sunrisers Hyderabad,110,Kolkata Knight Riders,112,Kolkata Knight Riders,Eden Gardens,2008
335987,Punjab Kings,166,Rajasthan Royals,168,Rajasthan Royals,Sawai Mansingh Stadium,2008
335988,Sunrisers Hyderabad,142,Delhi Capitals,143,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",2008
335989,Chennai Super Kings,208,Mumbai Indians,202,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2008
335990,Sunrisers Hyderabad,214,Rajasthan Royals,217,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2008
335991,Punjab Kings,182,Mumbai Indians,116,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",2008
335992,Royal Challengers Bangalore,135,Rajasthan Royals,138,Rajasthan Royals,M Chinnaswamy Stadium,2008
335993,Kolkata Knight Riders,147,Chennai Super Kings,152,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2008
335994,Mumbai Indians,154,Sunrisers Hyderabad,155,Sunrisers Hyderabad,Dr DY Patil Sports Academy,2008
335995,Delhi Capitals,158,Punjab Kings,162,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",2008
335996,Chennai Super Kings,178,Royal Challengers Bangalore,165,Chennai Super Kings,M Chinnaswamy Stadium,2008
335997,Kolkata Knight Riders,137,Mumbai Indians,138,Mumbai Indians,Eden Gardens,2008
335998,Delhi Capitals,191,Royal Challengers Bangalore,181,Delhi Capitals,Feroz Shah Kotla,2008
335999,Sunrisers Hyderabad,164,Punjab Kings,167,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",2008
336000,Rajasthan Royals,196,Kolkata Knight Riders,151,Rajasthan Royals,Sawai Mansingh Stadium,2008
336001,Chennai Super Kings,169,Delhi Capitals,172,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",2008
336002,Sunrisers Hyderabad,165,Royal Challengers Bangalore,171,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2008
336003,Punjab Kings,178,Kolkata Knight Riders,169,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",2008
336004,Mumbai Indians,162,Delhi Capitals,133,Mumbai Indians,Dr DY Patil Sports Academy,2008
336005,Chennai Super Kings,109,Rajasthan Royals,110,Rajasthan Royals,Sawai Mansingh Stadium,2008
336006,Royal Challengers Bangalore,126,Punjab Kings,127,Punjab Kings,M Chinnaswamy Stadium,2008
336007,Chennai Super Kings,144,Sunrisers Hyderabad,148,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",2008
336008,Rajasthan Royals,103,Mumbai Indians,104,Mumbai Indians,Dr DY Patil Sports Academy,2008
336009,Delhi Capitals,187,Chennai Super Kings,188,Chennai Super Kings,Feroz Shah Kotla,2008
336010,Kolkata Knight Riders,129,Royal Challengers Bangalore,124,Kolkata Knight Riders,Eden Gardens,2008
336011,Sunrisers Hyderabad,140,Rajasthan Royals,141,Rajasthan Royals,Sawai Mansingh Stadium,2008
336012,Royal Challengers Bangalore,122,Mumbai Indians,126,Mumbai Indians,M Chinnaswamy Stadium,2008
336013,Chennai Super Kings,181,Punjab Kings,163,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2008
336014,Kolkata Knight Riders,204,Sunrisers Hyderabad,181,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2008
336015,Delhi Capitals,156,Rajasthan Royals,159,Rajasthan Royals,Sawai Mansingh Stadium,2008
336016,Royal Challengers Bangalore,143,Punjab Kings,144,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",2008
336017,Kolkata Knight Riders,133,Delhi Capitals,110,Kolkata Knight Riders,Eden Gardens,2008
336018,Chennai Super Kings,156,Mumbai Indians,158,Mumbai Indians,Wankhede Stadium,2008
