team1,team2,winner,wins,total_matches,win_pct
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,6,8,75.0
Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,6,8,75.0
Gujarat Titans,Rajasthan Royals,Gujarat Titans,8,11,72.7
Chennai Super Kings,Gujarat Titans,Gujarat Titans,7,10,70.0
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,25,37,67.6
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,6,9,66.7
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,21,32,65.6
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,21,33,63.6
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,26,41,63.4
Delhi Capitals,Gujarat Titans,Gujarat Titans,5,8,62.5
Delhi Capitals,Lucknow Super Giants,Delhi Capitals,5,8,62.5
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,5,8,62.5
Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,5,8,62.5
Lucknow Super Giants,Punjab Kings,Punjab Kings,5,8,62.5
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,21,34,61.8
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,19,31,61.3
Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,21,35,60.0
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,21,35,60.0
Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,6,10,60.0
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,21,35,60.0
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,21,36,58.3
Punjab Kings,Rajasthan Royals,Rajasthan Royals,18,31,58.1
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,22,38,57.9
Gujarat Titans,Mumbai Indians,Mumbai Indians,5,9,55.6
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,20,36,55.6
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,20,36,55.6
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,20,36,55.6
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,20,36,55.6
Delhi Capitals,Mumbai Indians,Mumbai Indians,21,38,55.3
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,18,33,54.5
