venue,result_type,count
Arun Jaitley Stadium,Bat First Win,7
Arun Jaitley Stadium,Chase Win,7
"Arun Jaitley Stadium, Delhi",Bat First Win,13
"Arun Jaitley Stadium, Delhi",Chase Win,17
Barabati Stadium,Bat First Win,4
Barabati Stadium,Chase Win,3
"Barsapara Cricket Stadium, Guwahati",Bat First Win,4
"Barsapara Cricket Stadium, Guwahati",Chase Win,4
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bat First Win,11
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chase Win,17
Brabourne Stadium,Bat First Win,6
Brabourne Stadium,Chase Win,4
"Brabourne Stadium, Mumbai",Bat First Win,8
"Brabourne Stadium, Mumbai",Chase Win,9
Buffalo Park,Bat First Win,2
Buffalo Park,Chase Win,1
De Beers Diamond Oval,Bat First Win,1
De Beers Diamond Oval,Chase Win,2
Dr DY Patil Sports Academy,Bat First Win,7
Dr DY Patil Sports Academy,Chase Win,10
"Dr DY Patil Sports Academy, Mumbai",Bat First Win,10
"Dr DY Patil Sports Academy, Mumbai",Chase Win,10
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Bat First Win,7
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chase Win,6
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Bat First Win,2
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Chase Win,2
Dubai International Cricket Stadium,Bat First Win,21
Dubai International Cricket Stadium,Chase Win,25
Eden Gardens,Bat First Win,34
Eden Gardens,Chase Win,43
"Eden Gardens, Kolkata",Bat First Win,16
"Eden Gardens, Kolkata",Chase Win,13
Feroz Shah Kotla,Bat First Win,29
Feroz Shah Kotla,Chase Win,30
Green Park,Chase Win,4
Himachal Pradesh Cricket Association Stadium,Bat First Win,5
Himachal Pradesh Cricket Association Stadium,Chase Win,4
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bat First Win,6
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chase Win,3
Holkar Cricket Stadium,Bat First Win,1
Holkar Cricket Stadium,Chase Win,8
JSCA International Stadium Complex,Bat First Win,2
JSCA International Stadium Complex,Chase Win,5
Kingsmead,Bat First Win,9
Kingsmead,Chase Win,6
M Chinnaswamy Stadium,Bat First Win,28
M Chinnaswamy Stadium,Chase Win,36
"M Chinnaswamy Stadium, Bengaluru",Bat First Win,11
"M Chinnaswamy Stadium, Bengaluru",Chase Win,13
M.Chinnaswamy Stadium,Bat First Win,8
M.Chinnaswamy Stadium,Chase Win,7
MA Chidambaram Stadium,Bat First Win,4
MA Chidambaram Stadium,Chase Win,5
"MA Chidambaram Stadium, Chepauk",Bat First Win,30
"MA Chidambaram Stadium, Chepauk",Chase Win,18
"MA Chidambaram Stadium, Chepauk, Chennai",Bat First Win,17
"MA Chidambaram Stadium, Chepauk, Chennai",Chase Win,24
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Bat First Win,5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Chase Win,5
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Bat First Win,3
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Chase Win,4
Maharashtra Cricket Association Stadium,Bat First Win,8
Maharashtra Cricket Association Stadium,Chase Win,14
